Date,5-Nov,,Dec-15,,16-19,,20-29,,30-39,,40-49,,50-59,,60-69,,70-79,,80-89,,90+
10-May-21,,,-,,0.45%,,3.66%,,4.41%,,5.32%,,9.35%,,13.62%,,37.34%,,40.63%,,44.15%
11-May-21,,,-,,0.45%,,3.66%,,4.41%,,5.37%,,9.70%,,14.24%,,38.14%,,41.39%,,44.75%
12-May-21,,,-,,0.45%,,3.74%,,4.51%,,5.44%,,10.10%,,14.96%,,38.98%,,42.21%,,45.27%
13-May-21,,,-,,0.45%,,3.79%,,4.61%,,5.54%,,10.50%,,15.67%,,39.95%,,43.18%,,46.18%
14-May-21,,,-,,0.50%,,3.86%,,4.68%,,5.69%,,10.95%,,16.47%,,40.96%,,44.38%,,47.92%
15-May-21,,,-,,0.50%,,3.86%,,4.68%,,5.69%,,10.95%,,16.47%,,40.96%,,44.38%,,47.92%
16-May-21,,,-,,0.55%,,3.96%,,4.81%,,5.87%,,11.62%,,17.53%,,42.10%,,45.53%,,48.91%
17-May-21,,,-,,0.55%,,3.96%,,4.81%,,5.87%,,11.62%,,17.53%,,42.10%,,45.53%,,48.91%
18-May-21,,,-,,0.55%,,4.04%,,4.88%,,5.95%,,12.00%,,18.27%,,42.87%,,46.17%,,49.42%
19-May-21,,,-,,0.55%,,4.11%,,5.01%,,6.22%,,12.62%,,19.27%,,43.76%,,47.23%,,50.93%
20-May-21,,,-,,0.65%,,4.26%,,5.21%,,6.57%,,13.22%,,20.23%,,44.68%,,48.17%,,51.86%
21-May-21,,,-,,0.65%,,4.36%,,5.31%,,6.72%,,13.82%,,21.30%,,45.60%,,49.04%,,53.19%
22-May-21,,,-,,0.70%,,4.49%,,5.48%,,7.12%,,14.67%,,22.51%,,46.62%,,50.11%,,53.88%
23-May-21,,,-,,0.75%,,4.49%,,5.48%,,7.12%,,14.72%,,22.64%,,46.72%,,50.21%,,54.00%
24-May-21,,,-,,0.80%,,4.59%,,5.58%,,7.32%,,15.32%,,23.55%,,47.40%,,50.87%,,54.48%
25-May-21,,,-,,0.80%,,4.67%,,5.76%,,7.55%,,15.99%,,24.57%,,48.27%,,51.62%,,55.00%
26-May-21,,,-,,0.80%,,4.67%,,5.76%,,7.55%,,15.99%,,24.57%,,48.27%,,51.62%,,55.00%
27-May-21,,,-,,0.85%,,4.77%,,5.86%,,7.78%,,16.69%,,25.71%,,49.25%,,52.48%,,55.76%
28-May-21,,,-,,0.90%,,4.84%,,6.00%,,8.08%,,17.49%,,26.88%,,50.17%,,53.36%,,56.47%
29-May-21,,,-,,0.90%,,4.94%,,6.13%,,8.33%,,18.36%,,28.00%,,51.02%,,54.09%,,57.16%
30-May-21,,,-,,0.90%,,5.01%,,6.23%,,8.75%,,18.91%,,28.60%,,51.39%,,54.43%,,57.46%
31-May-21,,,-,,0.90%,,5.04%,,6.28%,,8.95%,,19.11%,,28.80%,,51.52%,,54.59%,,57.62%
1-Jun-21,,,-,,1.00%,,5.09%,,6.38%,,9.25%,,19.99%,,29.97%,,52.35%,,55.32%,,58.07%
2-Jun-21,,,-,,1.05%,,5.32%,,6.70%,,10.15%,,21.89%,,32.51%,,54.25%,,56.90%,,59.32%
3-Jun-21,,,-,,1.10%,,5.40%,,6.85%,,10.66%,,22.91%,,33.83%,,55.25%,,57.78%,,60.08%
4-Jun-21,,,-,,1.15%,,5.47%,,6.95%,,10.88%,,23.74%,,34.87%,,56.05%,,58.46%,,60.62%
5-Jun-21,,,-,,1.15%,,5.47%,,6.95%,,10.88%,,23.74%,,34.87%,,56.05%,,58.46%,,60.62%
6-Jun-21,,,-,,1.15%,,5.57%,,7.03%,,11.06%,,24.19%,,35.40%,,56.41%,,58.80%,,60.89%
7-Jun-21,,,-,,1.15%,,5.64%,,7.15%,,11.51%,,24.54%,,35.78%,,56.61%,,58.94%,,61.01%
8-Jun-21,,,-,,1.25%,,5.79%,,7.35%,,12.18%,,25.51%,,36.87%,,57.31%,,59.57%,,61.49%
9-Jun-21,,,-,,1.35%,,6.12%,,7.83%,,14.24%,,27.71%,,39.50%,,59.17%,,61.16%,,62.82%
10-Jun-21,,,-,,1.45%,,6.24%,,8.05%,,14.99%,,28.81%,,40.79%,,60.17%,,62.01%,,63.47%
11-Jun-21,,,-,,1.45%,,6.39%,,8.15%,,15.61%,,29.66%,,41.77%,,60.85%,,62.64%,,63.95%
12-Jun-21,,,-,,1.50%,,6.45%,,8.28%,,15.94%,,30.01%,,42.17%,,61.13%,,62.88%,,64.15%
13-Jun-21,,,-,,1.50%,,6.45%,,8.28%,,15.94%,,30.01%,,42.17%,,61.13%,,62.88%,,64.15%
14-Jun-21,,,-,,1.50%,,6.47%,,8.35%,,16.06%,,30.14%,,42.29%,,61.23%,,62.98%,,64.25%
15-Jun-21,,,-,,1.50%,,6.52%,,8.40%,,16.24%,,30.41%,,42.52%,,61.43%,,63.16%,,64.38%
16-Jun-21,,,-,,1.60%,,6.67%,,8.62%,,17.36%,,31.26%,,43.57%,,62.17%,,63.82%,,64.93%
17-Jun-21,,,-,,1.60%,,6.80%,,8.82%,,18.06%,,32.01%,,44.51%,,62.90%,,64.50%,,65.48%
18-Jun-21,,,-,,1.70%,,6.92%,,9.02%,,18.49%,,32.56%,,45.36%,,63.63%,,65.15%,,65.99%
19-Jun-21,,,-,,1.70%,,7.07%,,9.20%,,19.24%,,33.06%,,46.16%,,64.26%,,65.73%,,66.40%
20-Jun-21,,,-,,1.80%,,7.15%,,9.32%,,19.64%,,33.26%,,46.56%,,64.51%,,65.99%,,66.61%
21-Jun-21,,,-,,1.80%,,7.15%,,9.42%,,19.91%,,33.39%,,46.66%,,64.63%,,66.09%,,66.71%
22-Jun-21,,,-,,1.80%,,7.27%,,9.57%,,20.34%,,33.61%,,47.26%,,65.11%,,66.54%,,67.10%
23-Jun-21,,,-,,1.90%,,7.37%,,9.75%,,20.86%,,33.94%,,47.98%,,65.71%,,67.07%,,67.46%
24-Jun-21,,,-,,1.95%,,7.47%,,9.95%,,21.26%,,34.24%,,48.61%,,66.26%,,67.65%,,67.89%
25-Jun-21,,,-,,1.95%,,7.55%,,10.07%,,21.66%,,34.51%,,49.25%,,66.84%,,68.17%,,68.38%
26-Jun-21,,,-,,2.00%,,7.65%,,10.20%,,22.04%,,34.81%,,49.83%,,67.28%,,68.65%,,68.71%
27-Jun-21,,,-,,2.05%,,7.72%,,10.32%,,22.34%,,35.04%,,50.10%,,67.48%,,68.85%,,68.89%
28-Jun-21,,,-,,2.05%,,7.80%,,10.42%,,22.56%,,35.24%,,50.20%,,67.58%,,68.92%,,68.97%
29-Jun-21,,,-,,2.10%,,7.85%,,10.52%,,22.91%,,35.51%,,50.73%,,67.98%,,69.33%,,69.31%
30-Jun-21,,,-,,2.15%,,8.03%,,10.77%,,23.56%,,35.96%,,51.40%,,68.51%,,69.83%,,69.68%
1-Jul-21,,,-,,2.23%,,8.19%,,11.00%,,23.98%,,36.40%,,52.16%,,69.10%,,70.37%,,70.19%
2-Jul-21,,,-,,2.32%,,8.38%,,11.28%,,24.65%,,36.88%,,52.92%,,69.67%,,70.88%,,70.61%
3-Jul-21,,,-,,2.39%,,8.54%,,11.50%,,25.11%,,37.29%,,53.55%,,70.12%,,71.29%,,71.00%
4-Jul-21,,,-,,2.44%,,8.65%,,11.67%,,25.48%,,37.61%,,53.81%,,70.30%,,71.47%,,71.19%
5-Jul-21,,,-,,2.47%,,8.73%,,11.80%,,25.73%,,37.86%,,53.91%,,70.36%,,71.53%,,71.26%
6-Jul-21,,,-,,2.53%,,8.86%,,11.98%,,26.22%,,38.30%,,54.46%,,70.76%,,71.89%,,71.56%
7-Jul-21,,,-,,2.59%,,9.03%,,12.22%,,26.81%,,38.80%,,55.06%,,71.22%,,72.32%,,71.91%
8-Jul-21,,,-,,2.67%,,9.19%,,12.45%,,27.31%,,39.28%,,55.62%,,71.66%,,72.73%,,72.25%
9-Jul-21,,,-,,2.74%,,9.35%,,12.69%,,27.81%,,39.75%,,56.20%,,72.11%,,73.16%,,72.61%
10-Jul-21,,,-,,2.82%,,9.51%,,12.90%,,28.30%,,40.26%,,56.71%,,72.46%,,73.50%,,72.88%
11-Jul-21,,,-,,2.89%,,9.66%,,13.10%,,28.71%,,40.64%,,56.94%,,72.61%,,73.66%,,73.05%
12-Jul-21,,,-,,2.94%,,9.77%,,13.26%,,28.98%,,40.89%,,57.03%,,72.67%,,73.72%,,73.13%
13-Jul-21,,,-,,3.02%,,9.92%,,13.49%,,29.50%,,41.41%,,57.50%,,73.02%,,74.05%,,73.41%
14-Jul-21,,,-,,3.11%,,10.11%,,13.77%,,30.10%,,41.95%,,58.03%,,73.43%,,74.43%,,73.74%
15-Jul-21,,,-,,3.20%,,10.30%,,14.04%,,30.69%,,42.50%,,58.55%,,73.84%,,74.80%,,74.07%
16-Jul-21,,,-,,3.29%,,10.48%,,14.32%,,31.25%,,43.05%,,59.10%,,74.26%,,75.19%,,74.40%
17-Jul-21,,,-,,3.38%,,10.67%,,14.59%,,31.83%,,43.63%,,59.60%,,74.61%,,75.52%,,74.73%
18-Jul-21,,,-,,3.46%,,10.84%,,14.82%,,32.29%,,44.04%,,59.83%,,74.76%,,75.68%,,74.96%
19-Jul-21,,,-,,3.50%,,10.93%,,14.95%,,32.60%,,44.29%,,59.91%,,74.82%,,75.74%,,75.03%
20-Jul-21,,,-,,3.61%,,11.16%,,15.27%,,33.28%,,44.96%,,60.40%,,75.18%,,76.08%,,75.33%
21-Jul-21,,,-,,3.70%,,11.36%,,15.57%,,33.94%,,45.59%,,60.91%,,75.56%,,76.45%,,75.66%
22-Jul-21,,,-,,3.83%,,11.64%,,15.95%,,34.70%,,46.31%,,61.46%,,75.96%,,76.82%,,75.99%
23-Jul-21,,,-,,3.94%,,11.88%,,16.30%,,35.42%,,47.01%,,62.01%,,76.35%,,77.22%,,76.34%
24-Jul-21,,,-,,4.06%,,12.14%,,16.66%,,36.16%,,47.73%,,62.52%,,76.71%,,77.55%,,76.66%
25-Jul-21,,,-,,4.17%,,12.34%,,16.94%,,36.74%,,48.22%,,62.76%,,76.86%,,77.70%,,76.80%
26-Jul-21,,,-,,4.24%,,12.47%,,17.12%,,37.10%,,48.52%,,62.85%,,76.92%,,77.76%,,76.87%
27-Jul-21,,,-,,4.38%,,12.74%,,17.49%,,37.81%,,49.22%,,63.34%,,77.25%,,78.08%,,77.16%
28-Jul-21,0.00%,,-,,4.51%,,13.00%,,17.87%,,38.48%,,49.86%,,63.86%,,77.61%,,78.43%,,77.46%
29-Jul-21,0.00%,,-,,4.69%,,13.36%,,18.37%,,39.33%,,50.64%,,64.41%,,77.99%,,78.79%,,77.77%
30-Jul-21,0.00%,,-,,4.85%,,13.66%,,18.81%,,40.06%,,51.32%,,64.94%,,78.38%,,79.14%,,78.11%
31-Jul-21,0.00%,,-,,5.03%,,14.01%,,19.31%,,40.87%,,52.07%,,65.43%,,78.72%,,79.47%,,78.41%
1-Aug-21,0.00%,,-,,5.15%,,14.24%,,19.64%,,41.41%,,52.51%,,65.62%,,78.85%,,79.60%,,78.56%
2-Aug-21,0.00%,,-,,5.24%,,14.39%,,19.84%,,41.75%,,52.79%,,65.72%,,78.91%,,79.66%,,78.64%
3-Aug-21,0.00%,,-,,5.40%,,14.70%,,20.28%,,42.40%,,53.41%,,66.18%,,79.23%,,79.97%,,78.92%
4-Aug-21,0.00%,,-,,5.60%,,15.07%,,20.81%,,43.15%,,54.09%,,66.73%,,79.61%,,80.32%,,79.22%
5-Aug-21,0.00%,,-,,5.80%,,15.45%,,21.33%,,43.86%,,54.79%,,67.28%,,80.01%,,80.70%,,79.54%
6-Aug-21,0.00%,,-,,6.03%,,15.88%,,21.94%,,44.69%,,55.55%,,67.89%,,80.43%,,81.07%,,79.87%
7-Aug-21,0.00%,,-,,6.29%,,16.34%,,22.56%,,45.49%,,56.28%,,68.47%,,80.81%,,81.42%,,80.18%
8-Aug-21,0.00%,,-,,6.45%,,16.63%,,22.95%,,46.04%,,56.75%,,68.72%,,80.96%,,81.56%,,80.32%
9-Aug-21,0.00%,,-,,6.58%,,16.85%,,23.24%,,46.41%,,57.03%,,68.84%,,81.03%,,81.63%,,80.40%
10-Aug-21,0.00%,,-,,6.90%,,17.33%,,23.84%,,47.11%,,57.65%,,69.32%,,81.36%,,81.92%,,80.69%
11-Aug-21,0.00%,,-,,7.53%,,17.94%,,24.60%,,47.95%,,58.40%,,69.89%,,81.74%,,82.28%,,81.03%
12-Aug-21,0.00%,,-,,8.17%,,18.54%,,25.37%,,48.73%,,59.11%,,70.44%,,82.12%,,82.64%,,81.36%
13-Aug-21,0.00%,,-,,8.71%,,19.16%,,26.18%,,49.54%,,59.84%,,71.00%,,82.51%,,83.00%,,81.66%
14-Aug-21,0.00%,,-,,9.24%,,19.86%,,27.06%,,50.41%,,60.59%,,71.53%,,82.85%,,83.34%,,82.02%
15-Aug-21,0.00%,,-,,9.62%,,20.32%,,27.65%,,50.97%,,61.05%,,71.79%,,83.01%,,83.49%,,82.19%
16-Aug-21,0.00%,,-,,9.94%,,20.67%,,28.05%,,51.34%,,61.33%,,71.90%,,83.08%,,83.56%,,82.29%
17-Aug-21,0.00%,,-,,10.43%,,21.48%,,29.04%,,52.20%,,62.06%,,72.40%,,83.41%,,83.86%,,82.58%
18-Aug-21,0.00%,,-,,10.91%,,22.27%,,30.00%,,53.01%,,62.78%,,72.92%,,83.77%,,84.21%,,82.91%
19-Aug-21,0.00%,,-,,11.54%,,23.22%,,31.10%,,53.89%,,63.56%,,73.50%,,84.17%,,84.57%,,83.25%
20-Aug-21,0.00%,,-,,12.17%,,24.19%,,32.19%,,54.73%,,64.29%,,74.05%,,84.56%,,84.92%,,83.55%
21-Aug-21,0.00%,,-,,12.91%,,25.18%,,33.36%,,55.60%,,65.05%,,74.60%,,84.91%,,85.25%,,83.86%
22-Aug-21,0.00%,,-,,13.47%,,25.88%,,34.19%,,56.19%,,65.52%,,74.84%,,85.06%,,85.39%,,84.03%
23-Aug-21,0.00%,,-,,14.01%,,26.54%,,34.96%,,56.62%,,65.84%,,74.97%,,85.13%,,85.47%,,84.11%
24-Aug-21,0.00%,,-,,14.83%,,27.53%,,36.12%,,57.43%,,66.55%,,75.49%,,85.47%,,85.80%,,84.39%
25-Aug-21,0.00%,,-,,15.65%,,28.53%,,37.28%,,58.28%,,67.28%,,76.04%,,85.84%,,86.14%,,84.69%
26-Aug-21,0.00%,,-,,16.63%,,29.64%,,38.60%,,59.18%,,68.04%,,76.61%,,86.22%,,86.49%,,85.02%
27-Aug-21,0.00%,,-,,17.41%,,30.57%,,39.70%,,59.99%,,68.74%,,77.17%,,86.60%,,86.85%,,85.36%
28-Aug-21,0.00%,,-,,18.45%,,31.64%,,40.97%,,60.86%,,69.46%,,77.71%,,86.94%,,87.17%,,85.66%
29-Aug-21,0.00%,,-,,19.31%,,32.44%,,42.00%,,61.50%,,69.95%,,77.97%,,87.09%,,87.33%,,85.81%
30-Aug-21,0.00%,,-,,20.30%,,33.24%,,42.89%,,62.02%,,70.28%,,78.09%,,87.16%,,87.40%,,85.90%
31-Aug-21,0.00%,,-,,21.37%,,34.20%,,43.84%,,62.80%,,70.90%,,78.56%,,87.47%,,87.68%,,86.17%
1-Sep-21,0.00%,,-,,22.61%,,35.48%,,45.20%,,63.68%,,71.60%,,79.08%,,87.82%,,88.01%,,86.48%
2-Sep-21,0.00%,,-,,24.01%,,36.81%,,46.56%,,64.50%,,72.26%,,79.58%,,88.17%,,88.32%,,86.78%
3-Sep-21,0.00%,,-,,24.60%,,37.94%,,47.72%,,65.23%,,72.90%,,80.10%,,88.53%,,88.64%,,87.12%
4-Sep-21,0.00%,,-,,25.82%,,39.14%,,48.95%,,65.98%,,73.54%,,80.60%,,88.86%,,88.92%,,87.42%
5-Sep-21,0.00%,,-,,27.10%,,40.07%,,49.91%,,66.52%,,73.97%,,80.83%,,89.00%,,89.05%,,87.56%
6-Sep-21,0.00%,,-,,27.95%,,40.80%,,50.59%,,66.84%,,74.22%,,80.93%,,89.06%,,89.11%,,87.63%
7-Sep-21,0.00%,,-,,28.94%,,41.67%,,51.52%,,67.44%,,74.75%,,81.41%,,89.38%,,89.41%,,87.91%
8-Sep-21,0.00%,,-,,30.21%,,42.71%,,52.58%,,68.06%,,75.30%,,81.90%,,89.73%,,89.73%,,88.21%
9-Sep-21,0.00%,,-,,31.65%,,43.93%,,53.76%,,68.70%,,75.84%,,82.38%,,90.08%,,90.08%,,88.58%
10-Sep-21,0.00%,,-,,33.07%,,45.14%,,54.93%,,69.34%,,76.39%,,82.87%,,90.43%,,90.43%,,88.94%
11-Sep-21,0.00%,,-,,34.39%,,46.22%,,56.02%,,69.96%,,76.92%,,83.33%,,90.73%,,90.72%,,89.21%
12-Sep-21,0.00%,,-,,35.74%,,46.97%,,56.80%,,70.38%,,77.24%,,83.53%,,90.87%,,90.86%,,89.38%
13-Sep-21,0.00%,,-,,36.69%,,47.63%,,57.44%,,70.66%,,77.44%,,83.64%,,90.93%,,90.92%,,89.47%
14-Sep-21,0.00%,,4.80%,,37.90%,,48.56%,,58.37%,,71.19%,,77.90%,,84.03%,,91.21%,,91.18%,,89.72%
15-Sep-21,0.00%,,6.23%,,39.14%,,49.50%,,59.33%,,71.77%,,78.38%,,84.43%,,91.51%,,91.48%,,89.99%
16-Sep-21,0.00%,,7.83%,,40.37%,,50.43%,,60.30%,,72.33%,,78.85%,,84.81%,,91.79%,,91.75%,,90.26%
17-Sep-21,0.00%,,9.43%,,41.60%,,51.38%,,61.27%,,72.88%,,79.32%,,85.19%,,92.06%,,92.03%,,90.52%
18-Sep-21,0.00%,,11.27%,,42.93%,,52.41%,,62.30%,,73.49%,,79.81%,,85.57%,,92.32%,,92.28%,,90.77%
19-Sep-21,0.00%,,13.04%,,44.08%,,53.15%,,63.06%,,73.90%,,80.12%,,85.75%,,92.45%,,92.40%,,90.89%
20-Sep-21,0.00%,,14.42%,,44.99%,,53.87%,,63.72%,,74.22%,,80.35%,,85.95%,,92.56%,,92.50%,,91.00%
21-Sep-21,0.00%,,16.80%,,46.44%,,54.86%,,64.62%,,74.78%,,80.80%,,86.33%,,92.84%,,92.75%,,91.23%
22-Sep-21,0.00%,,19.05%,,47.84%,,55.86%,,65.55%,,75.33%,,81.24%,,86.71%,,93.12%,,93.01%,,91.48%
23-Sep-21,0.00%,,21.31%,,49.28%,,56.95%,,66.52%,,75.89%,,81.70%,,87.09%,,93.39%,,93.27%,,91.72%
24-Sep-21,0.00%,,23.64%,,50.71%,,58.04%,,67.49%,,76.47%,,82.19%,,87.48%,,93.66%,,93.54%,,92.00%
25-Sep-21,0.00%,,25.63%,,51.91%,,58.94%,,68.29%,,76.95%,,82.57%,,87.77%,,93.87%,,93.74%,,92.18%
26-Sep-21,0.00%,,27.41%,,52.87%,,59.55%,,68.90%,,77.30%,,82.83%,,87.93%,,93.98%,,93.85%,,92.29%
27-Sep-21,0.00%,,28.49%,,53.54%,,60.11%,,69.37%,,77.52%,,83.01%,,88.02%,,94.04%,,93.93%,,92.38%
28-Sep-21,0.00%,,30.78%,,54.76%,,60.99%,,70.12%,,77.99%,,83.39%,,88.30%,,94.25%,,94.13%,,92.58%
29-Sep-21,0.00%,,33.19%,,56.06%,,61.90%,,70.91%,,78.49%,,83.82%,,88.62%,,94.49%,,94.36%,,92.80%
30-Sep-21,0.00%,,35.44%,,57.29%,,62.76%,,71.65%,,78.97%,,84.22%,,88.92%,,94.72%,,94.59%,,93.01%
1-Oct-21,0.00%,,37.92%,,58.62%,,63.66%,,72.43%,,79.50%,,84.66%,,89.26%,,94.98%,,94.83%,,93.23%
2-Oct-21,0.00%,,40.12%,,59.73%,,64.46%,,73.15%,,79.99%,,85.05%,,89.59%,,95.22%,,95.06%,,93.43%
3-Oct-21,0.00%,,41.65%,,60.50%,,65.02%,,73.64%,,80.30%,,85.29%,,89.76%,,95.33%,,95.18%,,93.54%
4-Oct-21,0.00%,,42.52%,,61.04%,,65.47%,,73.99%,,80.49%,,85.42%,,89.85%,,95.39%,,95.25%,,93.64%
5-Oct-21,0.00%,,43.73%,,61.72%,,65.98%,,74.42%,,80.77%,,85.65%,,90.04%,,95.52%,,95.39%,,93.77%
6-Oct-21,0.00%,,45.67%,,62.79%,,66.76%,,75.08%,,81.24%,,86.04%,,90.37%,,95.77%,,95.62%,,93.99%
7-Oct-21,0.00%,,47.38%,,63.82%,,67.51%,,75.72%,,81.69%,,86.42%,,90.69%,,96.02%,,95.87%,,94.22%
8-Oct-21,0.00%,,48.98%,,64.75%,,68.23%,,76.32%,,82.13%,,86.79%,,90.99%,,96.25%,,96.09%,,94.45%
9-Oct-21,0.00%,,50.41%,,65.61%,,68.89%,,76.91%,,82.56%,,87.14%,,91.26%,,96.45%,,96.30%,,94.62%
10-Oct-21,0.00%,,51.46%,,66.24%,,69.34%,,77.30%,,82.82%,,87.34%,,91.39%,,96.55%,,96.41%,,94.76%
11-Oct-21,0.00%,,52.21%,,66.71%,,69.69%,,77.58%,,82.99%,,87.46%,,91.46%,,96.60%,,96.47%,,94.83%
12-Oct-21,0.00%,,53.40%,,67.51%,,70.28%,,78.07%,,83.36%,,87.76%,,91.70%,,96.78%,,96.64%,,95.00%
13-Oct-21,0.00%,,54.53%,,68.31%,,70.90%,,78.61%,,83.75%,,88.08%,,91.96%,,96.98%,,96.84%,,95.21%
14-Oct-21,0.00%,,55.49%,,69.05%,,71.48%,,79.09%,,84.11%,,88.37%,,92.19%,,97.16%,,97.04%,,95.40%
15-Oct-21,0.00%,,56.47%,,69.74%,,72.06%,,79.59%,,84.48%,,88.68%,,92.42%,,97.34%,,97.22%,,95.60%
16-Oct-21,0.00%,,57.37%,,70.35%,,72.62%,,80.08%,,84.84%,,88.96%,,92.62%,,97.50%,,97.40%,,95.77%
17-Oct-21,0.00%,,58.08%,,70.79%,,72.94%,,80.35%,,85.02%,,89.11%,,92.72%,,97.57%,,97.49%,,95.88%
18-Oct-21,0.00%,,58.68%,,71.14%,,73.28%,,80.59%,,85.16%,,89.21%,,92.79%,,97.61%,,97.54%,,95.95%
19-Oct-21,0.00%,,59.59%,,71.76%,,73.76%,,81.00%,,85.47%,,89.46%,,92.98%,,97.77%,,97.71%,,96.14%
20-Oct-21,0.00%,,60.37%,,72.34%,,74.28%,,81.43%,,85.77%,,89.71%,,93.18%,,97.93%,,97.89%,,96.33%
21-Oct-21,0.00%,,61.13%,,72.90%,,74.80%,,81.87%,,86.08%,,89.96%,,93.38%,,98.09%,,98.06%,,96.51%
22-Oct-21,0.00%,,61.85%,,73.39%,,75.33%,,82.30%,,86.40%,,90.21%,,93.56%,,98.25%,,98.22%,,96.72%
23-Oct-21,0.00%,,62.55%,,73.86%,,75.76%,,82.71%,,86.71%,,90.46%,,93.74%,,98.38%,,98.36%,,96.91%
24-Oct-21,0.00%,,63.18%,,74.25%,,76.07%,,82.97%,,86.91%,,90.60%,,93.84%,,98.45%,,98.45%,,97.02%
25-Oct-21,0.00%,,63.80%,,74.63%,,76.31%,,83.18%,,87.06%,,90.71%,,93.90%,,98.49%,,98.50%,,97.09%
26-Oct-21,0.00%,,64.49%,,75.14%,,76.73%,,83.54%,,87.34%,,90.92%,,94.06%,,98.63%,,98.64%,,97.27%
27-Oct-21,0.00%,,65.10%,,75.64%,,77.12%,,83.88%,,87.60%,,91.12%,,94.21%,,98.76%,,98.79%,,97.44%
28-Oct-21,0.00%,,65.66%,,76.11%,,77.47%,,84.20%,,87.85%,,91.32%,,94.37%,,98.88%,,98.93%,,97.61%
29-Oct-21,0.00%,,66.24%,,76.55%,,77.83%,,84.53%,,88.10%,,91.53%,,94.52%,,99.00%,,99.08%,,97.78%
30-Oct-21,0.00%,,66.77%,,76.90%,,78.14%,,84.82%,,88.32%,,91.71%,,94.64%,,99.10%,,99.19%,,97.92%
31-Oct-21,0.00%,,67.19%,,77.16%,,78.34%,,85.00%,,88.45%,,91.80%,,94.71%,,99.15%,,99.26%,,98.02%
1-Nov-21,0.00%,,67.48%,,77.34%,,78.49%,,85.13%,,88.54%,,91.86%,,94.75%,,99.18%,,99.31%,,98.09%
2-Nov-21,0.00%,,68.01%,,77.69%,,78.79%,,85.39%,,88.73%,,92.01%,,94.86%,,99.27%,,99.41%,,98.23%
